invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,ssn,is_restricted
I138884,C241288,Female,28,Clothing,5,1500.4,Credit Card,5/8/2022,Kanyon,000-91-1824,False
I317333,C111565,Male,21,Shoes,3,1800.51,Debit Card,12/12/2021,Forum Istanbul,000-13-4506,False
I127801,C266599,Male,20,Clothing,1,300.08,Cash,9/11/2021,Metrocity,000-41-3657,False
I173702,C988172,Female,66,Shoes,5,3000.85,Credit Card,16/05/2021,Metropol AVM,000-27-1679,True
I337046,C189076,Female,53,Books,4,60.6,Cash,24/10/2021,Kanyon,000-96-8935,False
I227836,C657758,Female,28,Clothing,5,1500.4,Credit Card,24/05/2022,Forum Istanbul,000-21-9674,True
I121056,C151197,Female,49,Cosmetics,1,40.66,Cash,13/03/2022,Istinye Park,000-64-0520,True
I293112,C176086,Female,32,Clothing,2,600.16,Credit Card,13/01/2021,Mall of Istanbul,000-13-1535,False
I293455,C159642,Male,69,Clothing,3,900.24,Credit Card,4/11/2021,Metrocity,000-37-3811,False
I326945,C283361,Female,60,Clothing,2,600.16,Credit Card,22/08/2021,Kanyon,000-74-9863,True
I306368,C240286,Female,36,Food & Beverage,2,10.46,Cash,25/12/2022,Metrocity,000-13-9195,True
I139207,C191708,Female,29,Books,1,15.15,Credit Card,28/10/2022,Emaar Square Mall,000-35-8928,False
I640508,C225330,Female,67,Toys,4,143.36,Debit Card,31/07/2022,Metrocity,000-63-3611,True
I179802,C312861,Male,25,Clothing,2,600.16,Cash,17/11/2022,Cevahir AVM,000-67-9654,False
I336189,C555402,Female,67,Clothing,2,600.16,Credit Card,3/6/2022,Kanyon,000-45-0106,False
I688768,C362288,Male,24,Shoes,5,3000.85,Credit Card,7/11/2021,Viaport Outlet,000-30-6924,True
I294687,C300786,Male,65,Books,2,30.3,Debit Card,16/01/2021,Metrocity,000-53-4552,False
I195744,C330667,Female,42,Food & Beverage,3,15.69,Credit Card,5/1/2022,Zorlu Center,000-29-3527,True
I993048,C218149,Female,46,Clothing,2,600.16,Cash,26/07/2021,Metropol AVM,000-53-1674,False
I992454,C196845,Male,24,Toys,4,143.36,Cash,7/3/2023,Cevahir AVM,000-21-6224,False
I183746,C220180,Male,23,Clothing,1,300.08,Credit Card,15/02/2023,Emaar Square Mall,000-22-5881,False
I412481,C125696,Female,27,Food & Beverage,1,5.23,Cash,1/5/2021,Cevahir AVM,000-54-9891,False
I823067,C322947,Male,52,Clothing,2,600.16,Credit Card,18/06/2022,Cevahir AVM,000-43-0711,False
I252275,C313348,Male,44,Technology,5,5250.0,Cash,26/10/2021,Kanyon,000-68-8785,False
I174250,C204553,Female,42,Books,5,75.75,Cash,16/12/2022,Metrocity,000-25-6201,False
I195396,C285161,Male,51,Toys,2,71.68,Debit Card,16/05/2021,Istinye Park,000-20-9044,False
I196704,C289625,Female,25,Cosmetics,5,203.3,Credit Card,20/04/2022,Mall of Istanbul,000-47-5925,False
I217053,C192344,Male,50,Shoes,4,2400.68,Cash,10/10/2022,Emaar Square Mall,000-83-3150,True
I655874,C447138,Female,65,Shoes,3,1800.51,Cash,23/08/2022,Cevahir AVM,000-18-0750,False
I209744,C251229,Male,29,Cosmetics,3,121.98,Credit Card,29/04/2021,Istinye Park,000-94-3733,False
I161949,C159164,Female,66,Toys,3,107.52,Debit Card,4/7/2022,Mall of Istanbul,000-47-1307,False
I331891,C501658,Male,23,Clothing,1,300.08,Credit Card,21/11/2021,Emaar Square Mall,000-39-1654,True
I768348,C176727,Female,32,Shoes,3,1800.51,Credit Card,23/02/2022,Kanyon,000-58-4554,False
I109053,C232624,Male,51,Clothing,4,1200.32,Debit Card,11/7/2021,Metrocity,000-68-5977,False
I167211,C164092,Female,66,Shoes,4,2400.68,Credit Card,30/08/2022,Zorlu Center,000-30-6065,False
I339732,C276887,Male,68,Food & Beverage,1,5.23,Credit Card,4/1/2023,Emaar Square Mall,000-55-3432,False
I147062,C245456,Male,43,Clothing,5,1500.4,Credit Card,21/06/2022,Kanyon,000-95-4374,True
I187519,C450287,Female,59,Clothing,2,600.16,Credit Card,8/7/2022,Metrocity,000-99-1169,True
I106674,C204279,Male,54,Clothing,2,600.16,Cash,27/02/2022,Kanyon,000-87-2803,True
I473411,C452806,Male,24,Clothing,1,300.08,Cash,19/12/2022,Metropol AVM,000-78-4010,False
I246550,C716788,Female,49,Food & Beverage,3,15.69,Cash,10/9/2021,Zorlu Center,000-30-7573,True
I138674,C155059,Male,67,Cosmetics,2,81.32,Credit Card,14/02/2022,Metropol AVM,000-58-4422,False
I752693,C306662,Female,48,Cosmetics,3,121.98,Cash,28/04/2022,Metrocity,000-91-9125,False
I826174,C607615,Female,40,Shoes,4,2400.68,Cash,20/06/2022,Metrocity,000-38-5313,True
I296025,C120164,Female,41,Shoes,3,1800.51,Credit Card,21/04/2022,Kanyon,000-17-3752,True
I117291,C134449,Male,46,Books,5,75.75,Credit Card,9/12/2022,Zorlu Center,000-14-5168,True
I267193,C317818,Female,19,Cosmetics,3,121.98,Credit Card,12/1/2023,Mall of Istanbul,000-61-4386,False
I205366,C241642,Female,43,Clothing,4,1200.32,Debit Card,7/11/2022,Zorlu Center,000-18-3456,False
I269690,C126436,Male,18,Cosmetics,3,121.98,Debit Card,7/2/2022,Zorlu Center,000-82-5155,False
I304265,C653385,Female,22,Books,5,75.75,Debit Card,13/06/2021,Forum Istanbul,000-37-8179,True
I246562,C227070,Female,61,Cosmetics,5,203.3,Cash,23/08/2021,Emaar Square Mall,000-60-7517,True
I202367,C317478,Female,41,Books,3,45.45,Cash,24/02/2023,Istinye Park,000-28-4339,True
I664787,C237330,Female,53,Cosmetics,2,81.32,Credit Card,12/1/2023,Istinye Park,000-27-4040,True
