invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,ssn,is_restricted
I138884,CUR438878,Female,28,Clothing,5,1500.4,Credit Card,5/8/2022,Kanyon,000-91-1824,False
I317333,LWC697368,Male,21,Shoes,3,1800.51,Debit Card,12/12/2021,Forum Istanbul,000-13-4506,False
I127801,FCN975622,Male,20,Clothing,1,300.08,Cash,9/11/2021,Metrocity,000-41-3657,False
I173702,TTS786064,Female,66,Shoes,5,3000.85,Credit Card,16/05/2021,Metropol AVM,000-27-1679,True
I337046,NDV450385,Female,53,Books,4,60.6,Cash,24/10/2021,Kanyon,000-96-8935,False
I227836,NJE926764,Female,28,Clothing,5,1500.4,Credit Card,24/05/2022,Forum Istanbul,000-21-9674,True
I121056,UQK822761,Female,49,Cosmetics,1,40.66,Cash,13/03/2022,Istinye Park,000-64-0520,True
I293112,OLL227238,Female,32,Clothing,2,600.16,Credit Card,13/01/2021,Mall of Istanbul,000-13-1535,False
I293455,COX063817,Male,69,Clothing,3,900.24,Credit Card,4/11/2021,Metrocity,000-37-3811,False
I326945,WVH631664,Female,60,Clothing,2,600.16,Credit Card,22/08/2021,Kanyon,000-74-9863,True
I306368,ETS354525,Female,36,Food & Beverage,2,10.46,Cash,25/12/2022,Metrocity,000-13-9195,True
I139207,BZL893121,Female,29,Books,1,15.15,Credit Card,28/10/2022,Emaar Square Mall,000-35-8928,False
I640508,RUT194638,Female,67,Toys,4,143.36,Debit Card,31/07/2022,Metrocity,000-63-3611,True
I179802,JMM043803,Male,25,Clothing,2,600.16,Cash,17/11/2022,Cevahir AVM,000-67-9654,False
I336189,OET683048,Female,67,Clothing,2,600.16,Credit Card,3/6/2022,Kanyon,000-45-0106,False
I688768,XTJ967509,Male,24,Shoes,5,3000.85,Credit Card,7/11/2021,Viaport Outlet,000-30-6924,True
I294687,KIX370459,Male,65,Books,2,30.3,Debit Card,16/01/2021,Metrocity,000-53-4552,False
I195744,BMU189471,Female,42,Food & Beverage,3,15.69,Credit Card,5/1/2022,Zorlu Center,000-29-3527,True
I993048,MDR475704,Female,46,Clothing,2,600.16,Cash,26/07/2021,Metropol AVM,000-53-1674,False
I992454,IFO669813,Male,24,Toys,4,143.36,Cash,7/3/2023,Cevahir AVM,000-21-6224,False
I183746,YLE832678,Male,23,Clothing,1,300.08,Credit Card,15/02/2023,Emaar Square Mall,000-22-5881,False
I412481,QSC312366,Female,27,Food & Beverage,1,5.23,Cash,1/5/2021,Cevahir AVM,000-54-9891,False
I823067,TVL804764,Male,52,Clothing,2,600.16,Credit Card,18/06/2022,Cevahir AVM,000-43-0711,False
I252275,VKX288328,Male,44,Technology,5,5250.0,Cash,26/10/2021,Kanyon,000-68-8785,False
I174250,GRQ139752,Female,42,Books,5,75.75,Cash,16/12/2022,Metrocity,000-25-6201,False
I195396,VFU007362,Male,51,Toys,2,71.68,Debit Card,16/05/2021,Istinye Park,000-20-9044,False
I196704,UUU664850,Female,25,Cosmetics,5,203.3,Credit Card,20/04/2022,Mall of Istanbul,000-47-5925,False
I217053,MSH780729,Male,50,Shoes,4,2400.68,Cash,10/10/2022,Emaar Square Mall,000-83-3150,True
I655874,OLN568741,Female,65,Shoes,3,1800.51,Cash,23/08/2022,Cevahir AVM,000-18-0750,False
I209744,ADG114530,Male,29,Cosmetics,3,121.98,Credit Card,29/04/2021,Istinye Park,000-94-3733,False
I161949,LRR471096,Female,66,Toys,3,107.52,Debit Card,4/7/2022,Mall of Istanbul,000-47-1307,False
I331891,WOC764998,Male,23,Clothing,1,300.08,Credit Card,21/11/2021,Emaar Square Mall,000-39-1654,True
I768348,OQO553579,Female,32,Shoes,3,1800.51,Credit Card,23/02/2022,Kanyon,000-58-4554,False
I109053,COU303950,Male,51,Clothing,4,1200.32,Debit Card,11/7/2021,Metrocity,000-68-5977,False
I167211,PAJ436717,Female,66,Shoes,4,2400.68,Credit Card,30/08/2022,Zorlu Center,000-30-6065,False
I339732,ZFH408528,Male,68,Food & Beverage,1,5.23,Credit Card,4/1/2023,Emaar Square Mall,000-55-3432,False
I147062,ZWA233939,Male,43,Clothing,5,1500.4,Credit Card,21/06/2022,Kanyon,000-95-4374,True
I187519,VBW281383,Female,59,Clothing,2,600.16,Credit Card,8/7/2022,Metrocity,000-99-1169,True
I106674,XHL661916,Male,54,Clothing,2,600.16,Cash,27/02/2022,Kanyon,000-87-2803,True
I473411,DON783898,Male,24,Clothing,1,300.08,Cash,19/12/2022,Metropol AVM,000-78-4010,False
I246550,ZRK406386,Female,49,Food & Beverage,3,15.69,Cash,10/9/2021,Zorlu Center,000-30-7573,True
I138674,KVI166972,Male,67,Cosmetics,2,81.32,Credit Card,14/02/2022,Metropol AVM,000-58-4422,False
I752693,IAC090047,Female,48,Cosmetics,3,121.98,Cash,28/04/2022,Metrocity,000-91-9125,False
I826174,USS461877,Female,40,Shoes,4,2400.68,Cash,20/06/2022,Metrocity,000-38-5313,True
I296025,SEX501044,Female,41,Shoes,3,1800.51,Credit Card,21/04/2022,Kanyon,000-17-3752,True
I117291,YDM696320,Male,46,Books,5,75.75,Credit Card,9/12/2022,Zorlu Center,000-14-5168,True
I267193,MLE381021,Female,19,Cosmetics,3,121.98,Credit Card,12/1/2023,Mall of Istanbul,000-61-4386,False
I205366,GHR630282,Female,43,Clothing,4,1200.32,Debit Card,7/11/2022,Zorlu Center,000-18-3456,False
I269690,PJY087649,Male,18,Cosmetics,3,121.98,Debit Card,7/2/2022,Zorlu Center,000-82-5155,False
I304265,IDI961897,Female,22,Books,5,75.75,Debit Card,13/06/2021,Forum Istanbul,000-37-8179,True
I246562,JXM699707,Female,61,Cosmetics,5,203.3,Cash,23/08/2021,Emaar Square Mall,000-60-7517,True
I202367,LGT969176,Female,41,Books,3,45.45,Cash,24/02/2023,Istinye Park,000-28-4339,True
I664787,GUG716890,Female,53,Cosmetics,2,81.32,Credit Card,12/1/2023,Istinye Park,000-27-4040,True
I160777,ULT272241,Female,43,Technology,4,4200.0,Cash,22/02/2022,Metrocity,000-81-8830,False
I137794,CCL902602,Female,45,Food & Beverage,3,15.69,Debit Card,12/3/2021,Viaport Outlet,000-43-9577,False
I148377,DLS202363,Female,29,Clothing,1,300.08,Cash,2/1/2022,Istinye Park,000-64-9560,True
I258195,SHV579219,Male,43,Toys,2,71.68,Cash,26/11/2021,Kanyon,000-61-5930,False
I300213,OEM856614,Female,19,Clothing,4,1200.32,Credit Card,21/04/2021,Kanyon,000-38-2266,True
I263803,ATM719462,Female,67,Food & Beverage,3,15.69,Cash,23/06/2021,Kanyon,000-75-8085,True
I335713,RLI627308,Female,36,Books,4,60.6,Cash,14/12/2021,Kanyon,000-21-0771,True
I133061,DPC649846,Male,64,Clothing,5,1500.4,Credit Card,9/6/2022,Mall of Istanbul,000-24-2504,False
I207205,QCT415807,Female,33,Clothing,1,300.08,Debit Card,26/11/2021,Kanyon,000-90-2621,True
I209289,UBE493990,Female,33,Clothing,4,1200.32,Credit Card,5/2/2021,Kanyon,000-97-6916,False
I157285,EIR144524,Male,66,Clothing,4,1200.32,Cash,6/3/2022,Mall of Istanbul,000-86-1040,False
I218590,RCE587644,Female,29,Cosmetics,4,162.64,Debit Card,9/5/2022,Metropol AVM,000-59-6252,True
I181109,UEH925120,Male,22,Toys,3,107.52,Cash,17/10/2022,Mall of Istanbul,000-86-7668,False
I221715,ZPL346869,Female,63,Food & Beverage,3,15.69,Cash,22/01/2022,Cevahir AVM,000-77-4119,False
I204979,PPH022803,Female,24,Souvenir,5,58.65,Debit Card,14/03/2021,Istinye Park,000-80-0188,False
I115146,DYK482303,Female,24,Cosmetics,5,203.3,Cash,27/04/2022,Metrocity,000-97-1876,True
I883721,MUB082729,Female,44,Technology,5,5250.0,Credit Card,19/11/2021,Mall of Istanbul,000-97-8797,True
I402376,HMR490706,Male,34,Shoes,5,3000.85,Cash,10/9/2022,Forum Istanbul,000-44-5573,False
I251356,LYE571728,Female,47,Cosmetics,4,162.64,Cash,4/9/2021,Kanyon,000-24-4808,False
I292239,OMU266975,Male,38,Food & Beverage,5,26.15,Cash,21/08/2022,Mall of Istanbul,000-65-2591,False
I276526,YIO520672,Female,57,Shoes,5,3000.85,Debit Card,2/10/2021,Emaar Square Mall,000-68-0053,True
I260525,WLH021612,Male,67,Toys,3,107.52,Cash,7/1/2023,Emaar Square Mall,000-43-8201,False
